['221', '910', '866', '957', '850', '941', '122', '606', '99', '247', '313', '440', '5', '2', '577', '919']
['445', '14', '113', '293', '491', '835', '267', '372', '907', '716', '902', '953', '268', '725', '425', '38']
['584', '778', '713', '657', '214', '461', '616', '509', '42', '403', '474', '48', '464', '272', '933', '881']
['840', '264', '294', '270', '540', '513', '761', '165', '7', '556', '278', '828', '685', '319', '690', '206']
['793', '348', '707', '44', '345', '462', '317', '22', '321', '671', '129', '435', '480', '429', '987', '855']
['732', '638', '297', '495', '65', '447', '143', '108', '605', '53', '271', '755', '395', '238', '892', '330']
['192', '696', '230', '411', '870', '245', '401', '800', '670', '810', '527', '432', '378', '118', '95', '288']
['104', '436', '989', '366', '710', '871', '21', '679', '361', '551', '543', '719', '680', '515', '583', '382']
['347', '55', '942', '56', '222', '772', '466', '328', '500', '548', '107', '945', '652', '373', '795', '30']
['203', '654', '457', '119', '212', '72', '151', '81', '381', '964', '967', '518', '478', '749', '289', '692']
['407', '787', '962', '147', '355', '922', '135', '660', '101', '788', '327', '717', '874', '423', '684', '727']
['98', '36', '884', '468', '601', '754', '896', '860', '661', '243', '958', '972', '441', '476', '676', '879']
['780', '604', '886', '530', '869', '662', '40', '598', '332', '27', '205', '600', '571', '301', '709', '830']
['547', '694', '490', '422', '537', '637', '568', '256', '731', '23', '420', '404', '384', '809', '290', '32']
['304', '627', '322', '6', '501', '573', '582', '747', '178', '286', '387', '575', '885', '798', '848', '498']
['331', '250', '175', '26', '734', '890', '544', '339', '887', '552', '367', '260', '428', '669', '742', '487']
['114', '784', '894', '186', '86', '200', '832', '984', '559', '791', '341', '664', '992', '782', '111', '621']
['541', '931', '592', '608', '318', '219', '986', '927', '574', '16', '993', '13', '506', '460', '236', '895']
['370', '475', '77', '482', '889', '181', '363', '824', '398', '939', '658', '152', '950', '410', '906', '11']
['489', '204', '121', '57', '150', '405', '120', '838', '453', '635', '443', '263', '770', '46', '978', '975']
['619', '771', '971', '210', '622', '233', '842', '631', '208', '45', '438', '816', '198', '546', '159', '299']
['329', '914', '623', '67', '486', '91', '1', '900', '311', '145', '650', '232', '356', '876', '997', '715']
['179', '362', '211', '29', '172', '117', '421', '305', '817', '653', '352', '701', '193', '229', '59', '920']
['753', '724', '234', '279', '223', '125', '995', '504', '249', '536', '274', '841', '141', '642', '545', '298']
['767', '977', '488', '965', '675', '934', '257', '760', '836', '228', '88', '963', '512', '878', '451', '706']
['148', '187', '539', '416', '796', '251', '912', '296', '590', '634', '399', '157', '201', '765', '813', '123']
['567', '163', '700', '937', '763', '797', '354', '730', '525', '97', '873', '801', '826', '549', '981', '31']
['402', '516', '758', '846', '68', '139', '672', '280', '528', '499', '614', '511', '858', '794', '392', '126']
['929', '412', '379', '729', '180', '550', '62', '579', '132', '103', '829', '891', '225', '131', '483', '960']
['307', '182', '526', '94', '261', '338', '751', '188', '47', '863', '954', '244', '142', '966', '563', '862']
['799', '917', '773', '769', '844', '394', '196', '452', '80', '888', '739', '903', '630', '415', '736', '385']
['570', '994', '936', '893', '183', '386', '916', '768', '948', '507', '522', '255', '738', '726', '158', '968']
['868', '915', '611', '167', '649', '756', '473', '368', '449', '484', '177', '924', '961', '561', '54', '240']
['757', '925', '853', '0', '33', '10', '79', '291', '324', '744', '90', '239', '169', '71', '872', '580']
['84', '697', '456', '940', '737', '252', '450', '209', '877', '699', '20', '741', '636', '656', '276', '19']
['427', '153', '64', '820', '265', '41', '377', '458', '171', '708', '667', '659', '806', '481', '15', '308']
['564', '246', '138', '343', '61', '615', '618', '493', '776', '904', '705', '309', '704', '52', '508', '190']
['593', '444', '134', '3', '35', '911', '639', '596', '743', '538', '69', '535', '144', '202', '283', '777']
['110', '128', '375', '956', '463', '818', '351', '520', '393', '880', '613', '17', '273', '678', '532', '569']
['364', '849', '326', '197', '783', '996', '388', '921', '459', '663', '434', '300', '746', '943', '815', '790']
['969', '454', '703', '833', '946', '629', '360', '406', '665', '595', '471', '935', '51', '346', '195', '983']
['524', '168', '562', '78', '418', '723', '553', '115', '720', '819', '149', '216', '226', '785', '369', '231']
['609', '376', '100', '413', '497', '349', '109', '24', '728', '166', '979', '92', '514', '740', '505', '371']
['647', '519', '383', '803', '683', '905', '295', '314', '686', '58', '164', '87', '607', '467', '173', '315']
['337', '442', '242', '334', '633', '655', '779', '808', '269', '220', '259', '581', '759', '477', '277', '74']
['555', '750', '648', '419', '875', '227', '340', '213', '792', '85', '909', '136', '531', '752', '106', '374']
['70', '624', '951', '802', '533', '155', '789', '831', '357', '397', '558', '281', '825', '105', '470', '185']
['814', '786', '237', '194', '856', '693', '712', '189', '28', '944', '959', '12', '303', '668', '681', '534']
['34', '359', '691', '320', '932', '554', '353', '390', '804', '191', '641', '698', '73', '162', '928', '455']
['496', '702', '991', '843', '666', '127', '66', '864', '75', '431', '805', '930', '898', '479', '409', '861']
['446', '160', '682', '908', '389', '93', '852', '253', '572', '312', '837', '37', '336', '287', '424', '400']
['597', '718', '557', '714', '918', '587', '626', '854', '254', '342', '396', '955', '970', '130', '867', '235']
['859', '184', '721', '926', '851', '502', '325', '985', '8', '241', '882', '576', '823', '542', '899', '976']
['865', '988', '857', '465', '645', '610', '517', '620', '711', '560', '565', '448', '521', '646', '674', '156']
['748', '632', '472', '266', '174', '980', '414', '63', '585', '39', '847', '417', '673', '275', '358', '913']
['18', '602', '50', '617', '807', '391', '923', '938', '974', '745', '437', '839', '625', '695', '764', '510']
['9', '215', '503', '603', '140', '827', '112', '947', '687', '628', '306', '335', '218', '350', '217', '102']
['766', '154', '612', '323', '640', '834', '89', '952', '949', '176', '822', '207', '439', '116', '494', '25']
['292', '990', '688', '365', '83', '901', '722', '426', '4', '762', '644', '248', '529', '812', '170', '96']
['258', '982', '845', '49', '485', '310', '282', '883', '591', '897', '76', '284', '344', '433', '566', '586']
['380', '998', '60', '735', '408', '775', '333', '651', '589', '588', '643', '43', '578', '774', '677', '285']
['689', '973', '733', '594', '124', '224', '599', '523', '137', '82', '262', '469', '430', '316', '302', '161']
['146', '492', '811', '133', '781', '199', '821']
