['806', '337', '396', '75', '861']
['675', '886', '199', '389', '649']
['201', '542', '767', '303', '838']
['766', '311', '293', '319', '942']
['693', '829', '356', '614', '231']
['810', '687', '375', '563', '582']
['927', '602', '734', '22', '190']
['252', '437', '467', '924', '487']
['679', '714', '523', '870', '517']
['694', '780', '831', '457', '16']
['292', '783', '342', '133', '216']
['314', '120', '666', '163', '63']
['920', '241', '512', '900', '414']
['463', '425', '249', '95', '103']
['759', '65', '632', '513', '191']
['695', '329', '269', '277', '186']
['377', '9', '699', '770', '837']
['799', '79', '259', '363', '928']
['43', '233', '237', '305', '710']
['358', '326', '764', '469', '361']
['711', '895', '556', '498', '296']
['653', '952', '359', '188', '385']
['637', '701', '204', '858', '823']
['151', '713', '935', '535', '285']
['54', '488', '492', '617', '403']
['422', '141', '105', '244', '580']
['739', '882', '995', '497', '460']
['619', '225', '925', '1', '795']
['692', '411', '625', '873', '691']
['840', '238', '903', '308', '438']
['276', '406', '910', '773', '986']
['248', '545', '931', '217', '552']
['7', '172', '124', '658', '481']
['327', '58', '899', '339', '440']
['844', '44', '312', '981', '27']
['323', '315', '114', '867', '863']
['750', '726', '170', '884', '418']
['309', '604', '708', '826', '320']
['279', '379', '650', '47', '26']
['450', '943', '979', '722', '966']
['289', '477', '805', '227', '613']
['333', '938', '618', '211', '804']
['310', '78', '28', '662', '755']
['426', '283', '908', '565', '167']
['415', '950', '684', '129', '890']
['814', '977', '896', '559', '138']
['301', '654', '431', '229', '214']
['989', '159', '787', '762', '85']
['789', '427', '936', '753', '330']
['746', '4', '939', '644', '187']
['620', '850', '173', '140', '48']
['705', '550', '891', '579', '405']
['442', '868', '869', '353', '879']
['822', '847', '648', '901', '907']
['489', '265', '678', '212', '364']
['505', '788', '205', '495', '33']
['860', '526', '270', '522', '834']
['143', '41', '515', '25', '856']
['390', '516', '354', '724', '176']
['898', '332', '949', '685', '558']
['130', '885', '280', '934', '102']
['597', '101', '219', '951', '180']
['218', '519', '509', '444', '88']
['947', '923', '646', '508', '74']
['483', '281', '672', '336', '357']
['384', '346', '893', '146', '255']
['779', '213', '208', '42', '84']
['67', '221', '395', '667', '236']
['77', '548', '13', '784', '843']
['398', '482', '12', '765', '366']
['17', '56', '135', '202', '740']
['601', '562', '941', '409', '985']
['645', '816', '845', '756', '536']
['23', '207', '802', '595', '128']
['608', '417', '192', '145', '972']
['547', '174', '589', '93', '55']
['555', '266', '669', '38', '126']
['846', '944', '792', '441', '31']
['184', '134', '561', '839', '471']
['365', '8', '954', '976', '745']
['72', '160', '825', '494', '260']
['917', '876', '703', '775', '484']
['166', '624', '878', '196', '955']
['429', '307', '741', '647', '131']
['960', '721', '919', '278', '169']
['575', '394', '832', '537', '111']
['524', '577', '223', '665', '852']
['841', '956', '436', '10', '538']
['475', '64', '49', '690', '115']
['813', '874', '11', '243', '61']
['59', '66', '544', '677', '531']
['717', '20', '997', '815', '90']
['639', '368', '551', '181', '723']
['157', '183', '996', '206', '987']
['446', '189', '165', '57', '344']
['18', '153', '763', '702', '990']
['473', '144', '616', '122', '137']
['812', '793', '707', '636', '573']
['751', '402', '432', '46', '731']
['584', '367', '345', '622', '392']
['228', '568', '198', '195', '790']
['607', '316', '388', '586', '234']
['45', '674', '282', '560', '383']
['671', '911', '757', '635', '478']
['849', '142', '598', '21', '220']
['817', '769', '504', '5', '737']
['945', '381', '502', '862', '570']
['543', '918', '964', '235', '720']
['905', '686', '961', '791', '433']
['222', '149', '200', '251', '975']
['859', '297', '372', '501', '655']
['933', '688', '466', '123', '983']
['738', '37', '634', '627', '468']
['546', '40', '401', '334', '474']
['154', '476', '916', '593', '656']
['15', '486', '778', '657', '761']
['712', '774', '507', '926', '630']
['374', '416', '347', '569', '491']
['922', '39', '302', '857', '758']
['376', '640', '112', '86', '629']
['148', '670', '530', '824', '490']
['735', '68', '262', '116', '728']
