['a620', 'a101', 'a503', 'a146', 'a393', 'a571', 'a536', 'a576', 'a616', 'a157', 'a315', 'a125', 'a109', 'a11', 'a127', 'a16', 'a484', 'a10', 'a235', 'a450', 'a65', 'a441', 'a438', 'a9', 'a373']
['a176', 'a335', 'a555', 'a544', 'a547', 'a358', 'a624', 'a240', 'a67', 'a542', 'a553', 'a545', 'a505', 'a451', 'a319', 'a526', 'a281', 'a8', 'a57', 'a425', 'a88', 'a442', 'a443', 'a110', 'a533']
['a155', 'a61', 'a272', 'a585', 'a243', 'a415', 'a163', 'a352', 'a504', 'a55', 'a328', 'a107', 'a251', 'a480', 'a369', 'a1', 'a183', 'a184', 'a606', 'a304', 'a187', 'a355', 'a170', 'a20', 'a197']
['a80', 'a492', 'a407', 'a435', 'a167', 'a221', 'a456', 'a348', 'a350', 'a455', 'a151', 'a31', 'a513', 'a447', 'a609', 'a121', 'a368', 'a126', 'a516', 'a372', 'a96', 'a458', 'a153', 'a111', 'a2']
['a560', 'a24', 'a424', 'a115', 'a568', 'a578', 'a426', 'a117', 'a174', 'a565', 'a444', 'a108', 'a474', 'a205', 'a142', 'a149', 'a84', 'a136', 'a4', 'a349', 'a594', 'a439', 'a226', 'a310', 'a26']
['a201', 'a32', 'a159', 'a405', 'a132', 'a194', 'a303', 'a300', 'a515', 'a611', 'a465', 'a114', 'a321', 'a376', 'a212', 'a257', 'a433', 'a160', 'a50', 'a191', 'a283', 'a119', 'a416', 'a475', 'a92']
['a429', 'a93', 'a595', 'a227', 'a239', 'a460', 'a454', 'a307', 'a488', 'a99', 'a123', 'a472', 'a291', 'a501', 'a223', 'a490', 'a295', 'a385', 'a592', 'a285', 'a311', 'a63', 'a182', 'a200', 'a30']
['a152', 'a64', 'a216', 'a277', 'a514', 'a53', 'a293', 'a333', 'a301', 'a289', 'a150', 'a273', 'a392', 'a196', 'a540', 'a171', 'a468', 'a351', 'a218', 'a141', 'a370', 'a614', 'a91', 'a180', 'a493']
['a374', 'a529', 'a224', 'a284', 'a260', 'a41', 'a512', 'a380', 'a363', 'a35', 'a118', 'a134', 'a538', 'a128', 'a497', 'a481', 'a580', 'a604', 'a33', 'a228', 'a233', 'a496', 'a612', 'a430', 'a457']
['a62', 'a434', 'a286', 'a395', 'a231', 'a154', 'a383', 'a601', 'a598', 'a621', 'a602', 'a79', 'a508', 'a406', 'a278', 'a58', 'a198', 'a485', 'a172', 'a570', 'a399', 'a264', 'a269', 'a354', 'a340']
['a534', 'a292', 'a510', 'a135', 'a106', 'a523', 'a145', 'a37', 'a550', 'a330', 'a532', 'a507', 'a133', 'a192', 'a495', 'a39', 'a589', 'a83', 'a537', 'a76', 'a19', 'a577', 'a382', 'a318', 'a409']
['a25', 'a49', 'a54', 'a563', 'a270', 'a287', 'a45', 'a94', 'a219', 'a77', 'a521', 'a202', 'a103', 'a473', 'a554', 'a593', 'a21', 'a122', 'a237', 'a375', 'a605', 'a299', 'a622', 'a296', 'a535']
['a449', 'a590', 'a137', 'a165', 'a388', 'a483', 'a387', 'a86', 'a36', 'a361', 'a267', 'a305', 'a246', 'a89', 'a189', 'a250', 'a470', 'a482', 'a102', 'a436', 'a494', 'a210', 'a275', 'a583', 'a44']
['a569', 'a343', 'a211', 'a232', 'a234', 'a147', 'a403', 'a486', 'a90', 'a78', 'a607', 'a256', 'a120', 'a47', 'a567', 'a209', 'a244', 'a255', 'a518', 'a69', 'a491', 'a249', 'a204', 'a213', 'a52']
['a42', 'a582', 'a81', 'a467', 'a82', 'a104', 'a342', 'a410', 'a48', 'a546', 'a40', 'a34', 'a452', 'a371', 'a471', 'a377', 'a557', 'a144', 'a290', 'a619', 'a95', 'a398', 'a185', 'a258', 'a428']
['a207', 'a206', 'a238', 'a280', 'a610', 'a404', 'a389', 'a476', 'a156', 'a230', 'a561', 'a313', 'a498', 'a166', 'a459', 'a129', 'a603', 'a357', 'a419', 'a414', 'a347', 'a169', 'a539', 'a326', 'a320']
['a413', 'a309', 'a308', 'a596', 'a262', 'a247', 'a437', 'a617', 'a520', 'a306', 'a440', 'a517', 'a390', 'a431', 'a386', 'a13', 'a562', 'a282', 'a56', 'a500', 'a190', 'a28', 'a130', 'a288', 'a353']
['a559', 'a29', 'a400', 'a469', 'a188', 'a5', 'a487', 'a105', 'a364', 'a266', 'a531', 'a574', 'a322', 'a140', 'a479', 'a344', 'a297', 'a173', 'a100', 'a279', 'a220', 'a356', 'a618', 'a38', 'a113']
['a164', 'a579', 'a572', 'a359', 'a362', 'a391', 'a466', 'a331', 'a12', 'a615', 'a225', 'a341', 'a365', 'a541', 'a464', 'a236', 'a252', 'a73', 'a478', 'a499', 'a336', 'a259', 'a381', 'a522', 'a420']
['a519', 'a22', 'a215', 'a575', 'a332', 'a74', 'a112', 'a248', 'a317', 'a402', 'a325', 'a360', 'a162', 'a588', 'a6', 'a599', 'a339', 'a324', 'a367', 'a477', 'a408', 'a302', 'a98', 'a268', 'a271']
['a463', 'a584', 'a23', 'a66', 'a552', 'a412', 'a396', 'a143', 'a587', 'a524', 'a116', 'a229', 'a131', 'a345', 'a586', 'a15', 'a195', 'a208', 'a461', 'a186', 'a124', 'a397', 'a242', 'a337', 'a418']
['a511', 'a378', 'a87', 'a525', 'a548', 'a199', 'a263', 'a581', 'a68', 'a85', 'a623', 'a241', 'a453', 'a274', 'a139', 'a600', 'a203', 'a261', 'a168', 'a530', 'a566', 'a427', 'a276', 'a265', 'a161']
['a253', 'a432', 'a316', 'a59', 'a417', 'a158', 'a558', 'a338', 'a543', 'a509', 'a564', 'a27', 'a71', 'a294', 'a506', 'a528', 'a323', 'a0', 'a446', 'a298', 'a179', 'a384', 'a46', 'a346', 'a401']
['a214', 'a334', 'a379', 'a51', 'a138', 'a445', 'a43', 'a217', 'a549', 'a411', 'a421', 'a573', 'a148', 'a366', 'a254', 'a245', 'a70', 'a422', 'a7', 'a327', 'a423', 'a613', 'a597', 'a97', 'a314']
['a312', 'a193', 'a489', 'a462', 'a608', 'a551', 'a222', 'a178', 'a181', 'a527', 'a72', 'a502', 'a18', 'a329', 'a17', 'a177', 'a556', 'a14', 'a3', 'a75', 'a175', 'a60', 'a394', 'a591', 'a448']
