['A14', 'B14', 'C14']
['D67', 'B67', 'C50']
['D33', 'A33', 'B33']
['E79', 'G79', 'D79']
['B41', 'D41', 'A41']
['A106', 'H37', 'H38']
['C68', 'H27', 'D68']
['E35', 'H35', 'F35']
['H114', 'H113', 'E113']
['F65', 'E65', 'H79']
['H2', 'E2', 'G2']
['F81', 'E95', 'G95']
['A97', 'F97', 'B97']
['A19', 'C19', 'D19']
['C28', 'E28', 'D28']
['F26', 'A26', 'E26']
['F83', 'E83', 'G83']
['E67', 'F67', 'H67']
['G29', 'F60', 'A60']
['D76', 'B76', 'A76']
['E10', 'F10', 'D10']
['B113', 'C29', 'A29']
['H87', 'H81', 'H88']
['C65', 'B65', 'A65']
['H7', '62', 'E7']
['9', '46', '30']
['D63', 'B63', 'E63']
['C21', 'C20', 'A21']
['A71', 'C71', 'D71']
['H60', 'H59', 'E59']
['A22', 'C22', 'D22']
['G112', 'F16', 'E112']
['D101', 'E101', 'H101']
['G51', 'E51', 'H23']
['61', '58', '63']
['B72', 'G101', 'B61']
['H39', 'C96', 'C97']
['A72', 'C72', 'F72']
['A13', '67', 'B13']
['D45', 'A45', 'F45']
['D60', 'C60', 'B60']
['E33', 'G33', 'F33']
['B73', 'B82', 'G65']
['F59', 'A59', 'E105']
['D50', 'B50', 'A50']
['12', '15', '5']
['D104', 'C104', 'C105']
['A62', 'D62', 'B57']
['E4', 'F4', 'A4']
['B55', 'C55', 'D55']
['G110', 'G9', 'D21']
['E75', 'G75', 'B89']
['17', '7', '4']
['A36', 'D36', 'C36']
['C16', 'A16', 'D16']
['C102', 'C103', 'D102']
['H42', 'H41', 'E41']
['F115', 'B8', 'B104']
['A74', 'F74', 'B74']
['E54', 'C17', 'D72']
['F96', 'A96', 'B96']
['F68', 'C93', 'A68']
['B3', 'C3', 'D3']
['F105', 'A105', 'B105']
['A79', 'B79', 'F79']
['E103', 'G103', 'F103']
['H63', 'C10', 'H64']
['D115', 'E115', 'G115']
['C7', 'D7', 'A7']
['A35', 'D35', 'B35']
['E57', 'D57', 'A57']
['H112', 'C54', 'D88']
['C92', 'A92', 'F92']
['G73', 'E73', 'A56']
['D39', 'A39', 'C39']
['E70', 'H69', 'H70']
['E9', 'D9', 'F9']
['G24', 'H24', 'E24']
['F95', 'B70', 'A95']
['E107', 'E11', 'F107']
['A94', 'D94', 'B94']
['34', '1', '0']
['14', '41', '35']
['F51', 'A51', '53']
['E6', 'H6', 'G6']
['H4', 'C76', 'F113']
['D23', 'C23', 'A23']
['D52', 'A52', 'C52']
['D69', 'C69', 'D58']
['F21', 'E21', 'G21']
['H91', 'H92', 'E91']
['E19', 'H20', 'H19']
['B21', 'G46', 'H102']
['F11', 'B69', 'C112']
['D20', 'B20', 'A20']
['E69', 'G69', '52']
['G109', 'H104', 'H103']
['B107', 'C107', 'D107']
['H28', 'B19', 'F61']
['A99', 'B99', 'D99']
['3', '38', '21']
['G40', 'G58', 'D65']
['F85', 'E85', 'G8']
['D26', 'B26', 'C26']
['A54', 'B54', 'D54']
['18', '28', '26']
['F86', 'A86', 'C86']
['E42', 'B68']
['C38', 'F89', 'A89']
['F32', 'G42', 'G7']
['C34', 'G1', 'C35']
['F57', 'B28', 'C77']
['C108', 'D108', 'A108']
['A73', 'F34', '54']
['A25', 'F25', 'E25']
['D89', 'G89', 'E89']
['A109', 'B109', 'D109']
['G64', 'F64', 'E64']
['E97', 'H98', 'H97']
['D75', 'C75', 'A75']
['A44', 'D44', 'B44']
['D103', 'B103', 'A103']
['E31', 'A31', 'D31']
['A64', 'A11', 'B64']
['B34', 'C59', 'D34']
['A2', 'D2', 'C2']
['H32', 'E32', 'H31']
['F37', 'G37', 'E37']
['G81', 'E81', 'H26']
['H15', 'H82', 'E15']
['H94', 'E94', 'G94']
['22', '19', '2']
['E52', 'F52', 'G52']
['F40', 'C40', 'A40']
['C1', 'D1', 'B1']
['F73', 'G97', 'H25']
['D32', 'C115', 'C114']
['E84', 'H84', 'G84']
['C106', 'D106', 'B106']
['G5', 'G20', 'E20']
['68', 'A83', 'D83']
['E92', 'D92', 'G92']
['G57', 'D59', 'F2']
['C8', 'G14', 'B62']
['D110', 'B110', 'A110']
['D24', 'A24', 'C24']
['A48', 'B48', '71']
['G62', 'E62', 'F62']
['E71', 'G71', 'B52']
['A104', 'F104', 'E104']
['D18', 'C18', 'E18']
['F22', 'E22', '55']
