['597', '14', '564', '317', '993', '248', '577', '378', '753', '879']
['851', '971', '83', '87', '665', '797', '85', '817', '341', '343']
['702', '419', '914', '442', '256', '430', '876', '678', '798', '855']
['147', '246', '937', '557', '672', '46', '646', '719', '545', '30']
['502', '901', '249', '899', '600', '575', '578', '95', '727', '892']
['541', '991', '200', '195', '399', '701', '698', '772', '976', '11']
['865', '138', '893', '280', '582', '451', '39', '588', '945', '535']
['490', '570', '982', '683', '737', '164', '42', '952', '903', '92']
['86', '909', '201', '437', '560', '743', '823', '960', '432', '968']
['617', '270', '495', '595', '435', '543', '218', '685', '872', '483']
['294', '323', '472', '820', '866', '808', '974', '166', '596', '190']
['748', '778', '172', '47', '618', '634', '963', '738', '373', '19']
['713', '856', '601', '56', '775', '296', '972', '275', '159', '790']
['732', '380', '113', '29', '501', '167', '548', '954', '881', '206']
['567', '905', '183', '328', '115', '129', '882', '480', '512', '549']
['93', '684', '990', '471', '473', '888', '448', '301', '774', '830']
['118', '362', '734', '66', '91', '681', '884', '878', '15', '992']
['445', '78', '192', '611', '832', '224', '804', '924', '829', '985']
['657', '187', '388', '800', '854', '260', '507', '309', '812', '997']
['370', '648', '632', '234', '995', '82', '986', '447', '964', '106']
['840', '771', '846', '220', '959', '762', '13', '440', '904', '515']
['293', '389', '942', '290', '65', '591', '228', '387', '826', '862']
['627', '941', '122', '981', '191', '717', '955', '469', '669', '21']
['926', '875', '155', '539', '792', '725', '286', '510', '848', '487']
['454', '894', '716', '503', '63', '269', '613', '643', '98', '330']
['707', '233', '608', '686', '934', '145', '745', '590', '396', '470']
['793', '721', '940', '142', '372', '76', '979', '819', '558', '566']
['348', '320', '61', '849', '983', '77', '836', '816', '162', '126']
['104', '787', '402', '267', '916', '197', '136', '35', '708', '736']
['767', '383', '49', '550', '896', '649', '949', '349', '409', '928']
['655', '314', '406', '222', '887', '403', '99', '108', '585', '930']
['994', '165', '957', '139', '860', '453', '434', '371', '439', '987']
['184', '969', '57', '675', '252', '28', '768', '950', '527', '96']
['609', '977', '885', '509', '796', '704', '598', '316', '810', '476']
['34', '999', '540', '553', '486', '324', '525', '284', '827', '238']
['148', '869', '900', '467', '477', '873', '51', '158', '777', '285']
['526', '94', '33', '723', '213', '212', '1', '466', '89', '207']
['619', '221', '910', '803', '544', '907', '311', '574', '80', '26']
['36', '237', '0', '938', '41', '339', '615', '474', '268', '431']
['492', '801', '620', '425', '344', '27', '335', '806', '410', '867']
['340', '214', '594', '24', '484', '177', '229', '263', '809', '494']
['376', '612', '491', '890', '450', '125', '303', '23', '919', '906']
['537', '769', '150', '606', '90', '178', '97', '571', '226', '392']
['931', '210', '735', '390', '579', '528', '874', '520', '369', '240']
['694', '956', '831', '416', '16', '332', '443', '131', '813', '144']
['264', '989', '682', '121', '516', '696', '219', '137', '244', '508']
['422', '160', '562', '485', '616', '411', '354', '837', '17', '255']
['70', '546', '789', '763', '870', '274', '551', '961', '913', '288']
