['648', '9', '853', '665', '122', '760', '431', '344', '570', '689', '682', '93', '727', '852', '686', '783', '257', '788', '5', '31', '113', '624', '85', '191', '506', '430', '680']
['196', '728', '600', '142', '489', '109', '7', '79', '603', '82', '105', '19', '787', '261', '710', '789', '377', '132', '438', '71', '302', '26', '564', '629', '265', '167', '481']
['203', '894', '391', '482', '828', '38', '404', '37', '13', '644', '621', '364', '769', '591', '626', '641', '522', '202', '684', '748', '865', '607', '521', '821', '229', '423', '343']
['153', '523', '410', '148', '334', '293', '729', '321', '550', '834', '747', '27', '275', '451', '724', '266', '428', '285', '771', '160', '844', '87', '824', '4', '640', '566', '158']
['463', '733', '10', '360', '108', '794', '206', '195', '508', '64', '778', '866', '735', '41', '48', '790', '551', '307', '777', '119', '139', '1', '511', '704', '161', '736', '30']
['34', '389', '457', '17', '582', '352', '173', '637', '574', '759', '287', '889', '138', '668', '618', '315', '54', '455', '602', '187', '688', '42', '151', '90', '260', '813', '535']
['638', '233', '486', '558', '502', '242', '62', '140', '731', '166', '651', '198', '429', '273', '156', '879', '810', '485', '587', '99', '435', '588', '674', '895', '288', '33', '23']
['767', '737', '712', '687', '776', '470', '366', '615', '112', '81', '243', '96', '798', '329', '475', '50', '495', '655', '58', '201', '276', '840', '675', '291', '464', '193', '460']
['49', '134', '94', '197', '864', '770', '782', '308', '808', '189', '414', '606', '447', '855', '351', '833', '323', '461', '820', '174', '775', '40', '210', '20', '218', '225', '569']
['338', '608', '183', '354', '98', '721', '246', '472', '211', '55', '893', '616', '269', '284', '543', '678', '180', '714', '388', '613', '371', '738', '297', '696', '718', '296', '614']
['757', '773', '305', '595', '552', '459', '878', '110', '223', '393', '610', '425', '313', '306', '823', '705', '583', '340', '146', '222', '791', '726', '772', '18', '208', '356', '575']
['537', '68', '403', '860', '398', '129', '152', '667', '805', '766', '57', '92', '520', '439', '715', '217', '14', '503', '636', '809', '746', '159', '184', '250', '700', '556', '730']
['799', '654', '662', '145', '205', '255', '309', '586', '892', '691', '74', '240', '168', '227', '722', '411', '232', '659', '749', '676', '742', '861', '267', '672', '209', '500', '469']
['693', '65', '91', '815', '409', '886', '253', '811', '361', '349', '359', '175', '322', '426', '509', '483', '254', '290', '851', '547', '36', '875', '220', '228', '286', '433', '876']
['446', '186', '763', '448', '881', '294', '192', '237', '536', '473', '277', '515', '15', '442', '803', '468', '836', '685', '677', '185', '524', '683', '765', '39', '80', '510', '795']
['60', '115', '281', '549', '241', '498', '102', '182', '135', '47', '740', '695', '271', '572', '234', '61', '671', '86', '877', '248', '116', '84', '114', '83', '561', '534', '52']
['402', '604', '807', '856', '279', '870', '661', '646', '111', '466', '368', '417', '441', '884', '301', '424', '0', '762', '101', '639', '701', '484', '658', '585', '643', '529', '709']
['221', '194', '188', '581', '605', '477', '858', '395', '226', '162', '46', '231', '407', '541', '513', '386', '713', '214', '124', '504', '800', '829', '127', '679', '642', '578', '373']
['125', '548', '420', '118', '419', '147', '155', '66', '544', '792', '72', '493', '505', '258', '436', '355', '150', '137', '176', '171', '476', '330', '516', '592', '660', '458', '478']
['427', '630', '346', '571', '623', '896', '599', '882', '149', '819', '874', '806', '898', '554', '863', '711', '367', '596', '440', '2', '827', '702', '450', '143', '449', '743', '53']
['779', '326', '212', '136', '106', '619', '154', '843', '262', '839', '480', '382', '422', '100', '611', '245', '880', '598', '576', '272', '755', '456', '121', '204', '465', '177', '144']
['631', '744', '528', '75', '725', '207', '862', '617', '734', '328', '796', '872', '392', '793', '857', '365', '797', '247', '289', '104', '845', '553', '67', '357', '256', '432', '848']
['837', '400', '163', '56', '63', '178', '327', '868', '347', '325', '320', '314', '172', '869', '35', '698', '635', '706', '78', '362', '339', '259', '620', '741', '565', '335', '692']
['179', '750', '383', '849', '854', '452', '11', '622', '540', '627', '517', '396', '300', '584', '812', '830', '567', '562', '488', '497', '539', '249', '764', '21', '720', '531', '545']
['496', '333', '336', '546', '732', '375', '181', '421', '888', '358', '89', '299', '200', '219', '394', '673', '507', '822', '681', '95', '374', '897', '471', '847', '801', '415', '593']
['859', '380', '3', '758', '252', '282', '213', '887', '311', '817', '538', '107', '73', '123', '444', '835', '236', '694', '230', '274', '670', '708', '8', '568', '841', '88', '826']
['445', '657', '215', '717', '514', '263', '577', '235', '555', '412', '280', '871', '12', '647', '462', '45', '719', '542', '479', '690', '264', '716', '768', '199', '97', '303', '652']
['533', '317', '832', '28', '324', '580', '454', '666', '363', '649', '251', '628', '664', '283', '632', '474', '781', '467', '244', '378', '128', '784', '802', '842', '525', '216', '867']
['490', '345', '751', '601', '120', '103', '499', '453', '590', '43', '761', '224', '838', '434', '131', '384', '774', '780', '594', '723', '372', '381', '443', '418', '390', '437', '126']
['408', '133', '891', '348', '29', '117', '756', '653', '560', '656', '44', '818', '405', '754', '873', '527', '350', '25', '609', '318', '645', '165', '268', '663', '59', '298', '190']
['337', '786', '413', '634', '559', '387', '319', '238', '697', '846', '312', '816', '295', '353', '699', '804', '589', '650', '332', '169', '69', '532', '270', '850', '24', '401', '739']
['342', '130', '526', '707', '310', '77', '579', '612', '492', '491', '557', '416', '16', '899', '385', '703', '530', '22', '573', '399', '157', '170', '6']
['70', '406', '76', '369', '379', '519', '278', '51', '752', '563', '376', '370', '292', '633', '164', '831', '141', '397', '669', '487', '304', '883', '239', '518', '625', '885', '494']
['341', '825', '501', '32']
['597', '331', '753', '814', '890', '745', '512', '316', '785']
