['34', '737', '751', '860', '431', '420', '348', '57', '147', '181', '301', '825', '261', '200', '769', '266', '789', '426', '172', '164', '626', '650', '613', '59', '268', '511', '356', '668', '575', '298']
['859', '446', '533', '693', '887', '817', '452', '448', '102', '489', '513', '56', '262', '466', '313', '396', '488', '495', '150', '462', '504', '264', '307', '4', '143', '286', '216', '709', '494', '535']
['221', '194', '188', '858', '404', '498', '811', '284', '838', '275', '664', '798', '451', '468', '869', '636', '232', '141', '635', '176', '681', '113', '210', '700', '33', '716', '464', '639', '813', '795']
['427', '383', '773', '728', '91', '745', '590', '891', '646', '549', '310', '135', '599', '280', '37', '392', '422', '258', '475', '234', '509', '781', '873', '304', '850', '768', '765', '357', '741', '810']
['631', '133', '75', '630', '881', '794', '407', '379', '375', '211', '835', '447', '839', '678', '855', '879', '780', '359', '411', '551', '297', '95', '865', '204', '187', '701', '643', '433', '642', '170']
['604', '654', '122', '634', '107', '241', '570', '242', '846', '808', '550', '834', '888', '300', '349', '884', '96', '436', '833', '724', '132', '598', '762', '288', '784', '530', '296', '228', '97', '256']
['337', '108', '255', '207', '111', '580', '732', '148', '64', '82', '414', '417', '560', '819', '671', '174', '230', '40', '381', '673', '440', '685', '522', '479', '36', '675', '553', '437', '640', '561']
['413', '608', '406', '326', '125', '552', '403', '477', '410', '206', '555', '540', '616', '615', '306', '656', '74', '217', '793', '572', '219', '377', '272', '476', '487', '607', '335', '218', '529', '30']
['786', '391', '763', '486', '502', '682', '419', '627', '223', '517', '747', '574', '740', '434', '868', '32', '797', '353', '836', '137', '822', '374', '772', '31', '564', '696', '157', '658', '23', '430']
['463', '849', '282', '546', '600', '235', '155', '366', '140', '243', '752', '826', '889', '567', '713', '340', '632', '322', '222', '248', '71', '764', '456', '875', '897', '265', '841', '458', '510', '730']
['311', '333', '837', '352', '344', '782', '334', '617', '816', '149', '774', '299', '168', '442', '492', '295', '483', '542', '54', '116', '83', '556', '390', '80', '614', '260', '531', '17', '225', '534']
['203', '179', '213', '744', '43', '226', '162', '603', '579', '731', '327', '92', '51', '358', '273', '424', '146', '138', '314', '557', '877', '641', '2', '104', '802', '39', '229', '566', '593', '126']
['799', '767', '758', '233', '779', '68', '665', '854', '667', '142', '110', '293', '734', '893', '473', '368', '198', '628', '520', '612', '562', '491', '554', '257', '171', '290', '455', '209', '401', '753']
['60', '885', '581', '398', '815', '586', '707', '729', '866', '735', '77', '544', '363', '796', '501', '759', '236', '384', '898', '364', '214', '503', '690', '185', '720', '220', '847', '199', '876', '680']
['750', '853', '215', '279', '360', '856', '212', '342', '571', '878', '79', '361', '12', '705', '812', '283', '15', '515', '694', '814', '655', '783', '714', '438', '589', '160', '139', '660', '521', '692']
['490', '807', '9', '336', '770', '238', '192', '190', '47', '644', '505', '872', '621', '355', '365', '686', '699', '99', '800', '829', '659', '698', '443', '755', '669', '21', '362', '883', '6', '343']
['648', '94', '134', '10', '601', '183', '523', '717', '395', '73', '154', '55', '29', '896', '278', '610', '429', '376', '180', '45', '276', '674', '861', '702', '121', '87', '22', '151', '259', '52']
['380', '197', '324', '263', '319', '470', '649', '756', '269', '81', '48', '271', '89', '563', '722', '591', '804', '332', '169', '244', '101', '202', '708', '78', '119', '191', '620', '652', '161', '499']
['638', '389', '317', '538', '130', '178', '480', '13', '156', '323', '86', '539', '818', '416', '367', '711', '435', '159', '289', '742', '851', '339', '1', '679', '518', '506', '743', '460', '478', '569']
['482', '152', '409', '369', '400', '541', '109', '312', '653', '823', '874', '287', '727', '240', '370', '320', '710', '594', '863', '588', '827', '746', '748', '250', '547', '683', '465', '127', '545', '736']
['757', '496', '402', '457', '408', '832', '453', '697', '118', '231', '519', '321', '66', '386', '328', '536', '325', '50', '175', '461', '880', '16', '791', '114', '703', '672', '573', '88', '423', '373']
['153', '338', '687', '548', '776', '558', '577', '508', '294', '246', '637', '251', '493', '19', '329', '227', '405', '61', '388', '245', '5', '341', '315', '749', '840', '184', '624', '844', '739', '625']
['28', '305', '115', '459', '559', '38', '205', '661', '805', '761', '253', '792', '131', '0', '723', '485', '611', '394', '596', '69', '719', '895', '378', '254', '676', '842', '24', '193', '565', '801']
['345', '252', '870', '662', '136', '828', '98', '346', '123', '412', '691', '41', '62', '393', '347', '14', '351', '803', '247', '670', '330', '597', '18', '609', '845', '688', '208', '53', '821', '469']
['537', '657', '196', '760', '173', '387', '309', '281', '106', '619', '778', '623', '7', '421', '72', '882', '806', '584', '105', '754', '249', '738', '899', '84', '516', '267', '471', '824', '449', '867']
['445', '49', '3', '76', '725', '862', '472', '666', '117', '63', '871', '112', '790', '331', '852', '497', '788', '618', '467', '397', '809', '428', '350', '677', '26', '158', '450', '568', '481', '848']
['890', '65', '120', '354', '308', '766', '93', '695', '785', '100', '857', '124', '372', '775', '274', '201', '25', '144', '385', '285', '418', '592', '645', '8', '718', '585', '239', '177', '578', '432']
['712', '145', '595', '582', '605', '514', '316', '892', '454', '721', '526', '444', '237', '843', '425', '439', '302', '128', '270', '629', '165', '67', '42', '167', '399', '500', '90', '484', '663', '303']
['70', '186', '528', '195', '182', '689', '622', '224', '166', '441', '277', '715', '830', '647', '787', '292', '820', '831', '587', '474', '35', '527', '532', '524', '771', '291', '85', '525', '20', '777']
['733', '894', '864', '103', '129', '46', '11', '886', '163', '189', '606', '651', '543', '512', '27', '583', '382', '44', '633', '58', '507', '576', '371', '726', '684', '706', '602', '318', '415', '704']
