['624', '627', '603', '626', '628', '613', '630']
['597', '465', '468', '474', '467', '469', '483']
['192', '189', '191', '199', '193', '195', '190']
['683', '686', '693', '685', '681', '690', '680']
['292', '294', '304', '345', '295', '291', '76']
['86', '87', '85', '91', '99', '90', '88']
['184', '128', '187', '33', '188', '35', '429']
['436', '438', '435', '437', '440', '441', '439']
['376', '348', '635', '531', '378', '586', '288']
['689', '36', '246', '280', '589', '634', '243']
['160', '155', '166', '157', '159', '161', '156']
['572', '631', '305', '517', '367', '218', '158']
['227', '230', '228', '687', '229', '225', '231']
['331', '340', '446', '339', '103', '129', '395']
['654', '211', '357', '670', '417', '256', '432']
['204', '210', '197', '209', '208', '205', '206']
['94', '194', '186', '174', '107', '202', '185']
['541', '540', '387', '543', '546', '542', '545']
['233', '224', '245', '239', '244', '241', '240']
['413', '405', '406', '408', '401', '399', '398']
['353', '458', '493', '636', '667', '584', '409']
['555', '537', '554', '557', '556', '560', '558']
['609', '608', '414', '605', '13', '286', '373']
['264', '258', '266', '265', '262', '260', '263']
['526', '57', '60', '62', '63', '115', '308']
['64', '55', '56', '53', '51', '54', '52']
['516', '215', '671', '677', '518', '460', '515']
['168', '84', '83', '326', '354', '431', '302']
['203', '358', '109', '196', '201', '198', '101']
['154', '355', '150', '482', '464', '143', '108']
['78', '261', '267', '268', '259', '272', '273']
['412', '121', '124', '125', '120', '122', '126']
['179', '147', '536', '641', '12', '171', '661']
['602', '163', '172', '77', '662', '149', '443']
['50', '418', '127', '47', '137', '48', '319']
['502', '509', '500', '511', '507', '505', '508']
['334', '333', '332', '336', '335', '341', '330']
['93', '513', '183', '403', '447', '92', '96']
['402', '591', '139', '132', '512', '433', '123']
['18', '9', '20', '16', '21', '15', '11']
['497', '282', '24', '501', '625', '481', '499']
['148', '74', '117', '411', '257', '668', '347']
['380', '637', '530', '42', '598', '356', '478']
['61', '58', '306', '420', '59', '25', '593']
['694', '700', '696', '698', '695', '676', '697']
['383', '82', '80', '600', '95', '235', '30']
['329', '444', '323', '22', '324', '328', '327']
['682', '691', '138', '97', '142', '684', '118']
['577', '579', '581', '576', '575', '578', '580']
['647', '182', '648', '649', '651', '650', '646']
['492', '450', '8', '416', '599', '548', '32']
['250', '242', '100', '657', '462', '587', '27']
['495', '592', '41', '352', '89', '105', '285']
['419', '134', '457', '135', '247', '277', '316']
['612', '617', '616', '611', '610', '615', '614']
['200', '623', '317', '386', '595', '4', '678']
['422', '223', '249', '140', '452', '449', '75']
['29', '566', '459', '23', '207', '479', '144']
['456', '119', '675', '278', '181', '679', '674']
['110', '463', '606', '618', '71', '532', '254']
['375', '544', '251', '498', '669', '283', '217']
['116', '391', '279', '274', '448', '583', '392']
['562', '44', '65', '421', '425', '37', '271']
['10', '252', '219', '28', '69', '17', '19']
['461', '165', '164', '167', '151', '434', '31']
['640', '660', '659', '673', '642', '664', '382']
['454', '312', '145', '639', '644', '643', '289']
['153', '672', '212', '653', '236', '428', '6']
['655', '629', '1', '141', '506', '5', '514']
['307', '379', '322', '688', '393', '368', '563']
['370', '533', '503', '112', '404', '527', '561']
['234', '79', '377', '81', '43', '98', '424']
['547', '539', '553', '7', '552', '551', '535']
['427', '475', '471', '473', '178', '476', '470']
['426', '504', '590', '658', '596', '349', '281']
['445', '519', '523', '525', '521', '522', '520']
['524', '351', '491', '45', '538', '430', '510']
['496', '407', '3', '248', '176', '131', '374']
['564', '175', '666', '486', '588', '169', '177']
['337', '622', '338', '568', '388', '342', '343']
['567', '49', '214', '213', '665', '528', '290']
['221', '325', '222', '220', '226', '549', '238']
['390', '607', '344', '130', '346', '652', '111']
['489', '442', '362', '66', '136', '162', '26']
['70', '68', '269', '173', '559', '275', '455']
['34', '114', '237', '594', '67', '39', '423']
['619', '604', '534', '620', '232', '152', '170']
['314', '310', '311', '315', '313', '303', '309']
['570', '573', '582', '574', '284', '415', '569']
['490', '318', '645', '656', '384', '287', '621']
['104', '270', '320', '372', '2', '255', '46']
['488', '472', '485', '484', '480', '477', '487']
['389', '466', '699', '585', '350', '410', '692']
['113', '253', '363', '565', '276', '529', '102']
['359', '364', '360', '365', '361', '371', '369']
['14', '146', '601', '216', '106', '73', '385']
['633', '394', '453', '396', '397', '451', '400']
['638', '632', '180', '321', '40', '663', '494']
['293', '299', '296', '300', '297', '301', '298']
['366', '550', '72', '133', '381', '38', '571']
