['334', '242', '3', '44', '295', '302', '648', '282', '249', '257', '39', '458', '284', '673', '507', '244', '344', '98', '749', '195', '535']
['619', '412', '402', '49', '214', '594', '735', '317', '616', '109', '796', '133', '800', '650', '92', '441', '51', '255', '21', '298', '470']
['502', '348', '114', '128', '9', '104', '211', '726', '79', '82', '536', '151', '398', '437', '512', '43', '542', '664', '46', '593', '102']
['622', '763', '645', '783', '482', '464', '328', '103', '269', '590', '598', '88', '397', '791', '522', '59', '667', '684', '742', '429', '499']
['496', '340', '110', '703', '562', '60', '647', '491', '233', '87', '714', '189', '125', '166', '45', '239', '739', '770', '275', '73', '288']
['609', '221', '694', '682', '134', '329', '436', '533', '56', '77', '165', '599', '501', '278', '731', '760', '96', '181', '643', '19', '26']
['121', '632', '784', '321', '365', '67', '164', '426', '219', '42', '311', '414', '37', '741', '417', '205', '505', '690', '676', '772', '217']
['570', '162', '204', '486', '504', '372', '305', '48', '191', '610', '157', '199', '698', '352', '373', '216', '254', '561', '54', '409', '451']
['748', '564', '492', '358', '751', '135', '557', '262', '208', '35', '653', '679', '15', '13', '53', '477', '574', '159', '206', '498', '580']
['766', '250', '475', '617', '383', '200', '86', '230', '744', '251', '639', '129', '745', '447', '336', '277', '387', '527', '566', '563', '123']
['179', '376', '407', '375', '444', '540', '485', '213', '197', '626', '756', '525', '40', '260', '565', '625', '695', '460', '361', '301', '11']
['689', '624', '461', '253', '360', '408', '503', '65', '797', '58', '530', '487', '618', '480', '658', '431', '596', '433', '494', '569', '385']
['70', '638', '369', '391', '276', '754', '718', '568', '85', '587', '403', '76', '747', '581', '178', '286', '424', '371', '283', '753', '111']
['490', '14', '489', '786', '194', '215', '545', '671', '7', '330', '386', '792', '71', '75', '16', '613', '685', '584', '207', '238', '382']
['799', '732', '567', '264', '261', '163', '472', '379', '61', '789', '127', '41', '353', '220', '142', '453', '628', '152', '218', '350', '549']
['750', '721', '771', '428', '323', '629', '710', '693', '523', '393', '591', '595', '268', '4', '511', '743', '243', '404', '600', '232', '697']
['445', '182', '270', '715', '758', '252', '608', '183', '47', '212', '63', '781', '80', '272', '661', '356', '752', '300', '226', '52', '798']
['524', '292', '57', '675', '666', '696', '550', '509', '603', '660', '601', '438', '701', '171', '173', '97', '107', '25', '116', '583', '32']
['380', '702', '516', '147', '227', '627', '572', '723', '139', '66', '122', '137', '517', '228', '81', '27', '5', '169', '646', '448', '31']
['454', '325', '571', '586', '767', '495', '234', '787', '28', '544', '274', '24', '620', '342', '630', '423', '106', '532', '709', '290', '190']
['555', '307', '602', '294', '733', '729', '33', '322', '124', '339', '421', '132', '357', '99', '589', '510', '558', '17', '520', '240', '285']
['184', '359', '94', '737', '465', '187', '394', '611', '354', '223', '579', '315', '435', '788', '636', '177', '108', '263', '674', '677', '156']
['362', '537', '180', '405', '637', '700', '553', '411', '256', '333', '518', '776', '396', '740', '2', '681', '346', '144', '378', '478', '621']
['793', '64', '119', '338', '68', '224', '388', '117', '91', '112', '399', '136', '543', '548', '762', '469', '38', '420', '466', '89', '120']
['154', '34', '293', '691', '418', '84', '186', '761', '578', '728', '140', '72', '720', '259', '313', '327', '531', '668', '764', '476', '341']
['203', '18', '351', '331', '337', '633', '683', '556', '775', '363', '649', '245', '662', '500', '687', '614', '514', '538', '692', '708', '706']
['370', '547', '50', '175', '345', '462', '172', '8', '324', '1', '90', '425', '551', '644', '161', '130', '719', '678', '299', '669', '158']
['597', '427', '446', '623', '734', '513', '29', '265', '768', '377', '401', '659', '149', '332', '170', '319', '395', '577', '534', '727', '785']
['258', '304', '773', '138', '314', '291', '312', '573', '115', '367', '381', '493', '368', '430', '271', '663', '415', '273', '467', '439', '795']
['612', '654', '713', '55', '78', '592', '688', '686', '471', '528', '432', '247', '12', '588', '576', '635', '236', '74', '481', '777', '126']
['146', '780', '526', '36', '237', '320', '554', '150', '712', '779', '62', '167', '450', '474', '143', '296', '651', '725', '176', '642', '455']
['168', '463', '778', '457', '364', '10', '279', '419', '310', '738', '280', '765', '641', '449', '141', '440', '303', '297', '774', '680', '515']
['757', '442', '347', '724', '769', '539', '22', '326', '196', '665', '552', '145', '521', '459', '506', '443', '546', '652', '95', '241', '185']
['113', '389', '497', '6', '782', '174', '390', '582', '473', '452', '607', '615', '306', '309', '131', '23', '101', '316', '575', '736', '30']
['148', '541', '246', '355', '318', '266', '640', '222', '188', '209', '711', '484', '759', '193', '704', '434', '656', '225', '281', '529', '308']
['231', '160', '153', '192', '210', '366', '155', '406', '655', '519', '722', '83', '585', '670', '69', '634', '335', '349', '483', '287', '392']
['456', '488', '267', '716', '672', '606', '717', '201', '605', '560', '20', '198', '229', '559', '705', '248', '410', '289', '790', '235', '730']
['422', '707', '93', '400', '604', '413', '468', '755', '374', '794', '118', '343']
['100', '508', '416', '384', '479', '105']
['746', '202', '631', '699', '657']
