['294', '293', '364', '237', '57', '124', '224', '368', '374', '424']
['184', '84', '134', '234', '223', '486', '284', '484', '352', '384']
['18', '334', '468', '439', '68', '268', '177', '297', '410', '217']
['379', '436', '463', '112', '35', '232', '371', '479', '118', '429']
['14', '153', '213', '79', '353', '63', '248', '53', '54', '238']
['370', '348', '70', '121', '496', '312', '137', '20', '2', '385']
['337', '407', '406', '321', '393', '189', '193', '173', '43', '343']
['250', '114', '304', '164', '127', '414', '473', '157', '448', '275']
['446', '196', '191', '143', '176', '396', '349', '309', '74', '240']
['423', '323', '405', '322', '108', '459', '23', '483', '144', '273']
['113', '44', '495', '33', '7', '42', '82', '27', '432', '378']
['172', '219', '262', '269', '245', '453', '16', '59', '32', '11']
['203', '291', '99', '452', '399', '387', '123', '301', '19', '30']
['204', '461', '83', '482', '65', '280', '332', '92', '428', '235']
['402', '227', '187', '87', '260', '437', '441', '433', '287', '299']
['154', '292', '242', '9', '200', '444', '408', '188', '133', '142']
['457', '85', '363', '251', '357', '47', '276', '225', '107', '207']
['214', '302', '360', '278', '471', '198', '12', '286', '335', '46']
['354', '208', '48', '145', '228', '90', '199', '499', '130', '455']
['148', '331', '351', '265', '1', '401', '151', '201', '51', '451']
['456', '163', '326', '386', '398', '313', '306', '440', '271', '169']
['345', '492', '222', '372', '411', '140', '72', '438', '458', '26']
['490', '120', '58', '390', '45', '40', '80', '195', '290', '190']
['128', '91', '466', '117', '209', '141', '434', '216', '25', '161']
['419', '383', '67', '24', '328', '122', '296', '69', '319', '369']
['489', '3', '211', '180', '41', '103', '81', '149', '6', '185']
['34', '50', '270', '215', '320', '247', '272', '347', '170', '470']
['450', '267', '317', '77', '167', '367', '417', '467', '327', '89']
['454', '210', '60', '94', '274', '132', '477', '469', '101', '382']
['329', '93', '119', '186', '28', '75', '277', '356', '289', '487']
['422', '307', '310', '61', '252', '403', '218', '202', '52', '330']
['412', '359', '10', '109', '394', '183', '135', '259', '159', '231']
['264', '147', '86', '485', '253', '96', '435', '336', '226', '206']
['465', '22', '220', '361', '13', '263', '300', '316', '254', '478']
['182', '475', '389', '62', '324', '474', '17', '358', '481', '158']
['179', '380', '362', '194', '365', '115', '493', '415', '315', '15']
['110', '8', '181', '447', '76', '431', '131', '281', '298', '31']
['445', '36', '138', '314', '136', '178', '236', '73', '494', '285']
['391', '491', '233', '56', '105', '255', '283', '241', '498', '392']
['258', '146', '246', '497', '318', '125', '373', '39', '229', '409']
['427', '442', '192', '282', '256', '333', '205', '430', '476', '21']
['0', '472', '279', '139', '388', '377', '425', '244', '350', '308']
['104', '168', '160', '55', '266', '305', '4', '129', '420', '5']
['64', '175', '49', '174', '249', '421', '257', '239', '404', '288']
['100', '366', '295', '150', '66', '416', '464', '166', '37', '116']
['261', '418', '155', '462', '212', '339', '342', '38', '443', '162']
['325', '221', '355', '426', '449', '88', '152', '303', '460', '346']
['102', '413', '400', '230', '197', '97', '397', '243', '71', '156']
['165', '311', '480', '344', '341', '98', '106', '95', '111', '126']
['376', '340', '488', '78', '375', '29', '338', '381', '171', '395']
