['250', '702', '564', '488', '375', '622', '338', '322', '267', '503', '197', '249', '3', '788', '16', '306', '661', '341', '202', '118']
['547', '146', '721', '294', '568', '591', '606', '438', '284', '40', '687', '467', '232', '159', '755', '349', '423', '561', '534', '231']
['780', '475', '567', '418', '187', '450', '253', '65', '403', '311', '649', '342', '448', '303', '680', '577', '142', '586', '19', '535']
['148', '412', '402', '617', '359', '154', '77', '665', '553', '278', '745', '536', '76', '493', '739', '344', '584', '297', '21', '102']
['799', '221', '292', '270', '793', '736', '497', '491', '737', '7', '125', '42', '582', '99', '268', '596', '12', '255', '684', '429']
['748', '329', '334', '211', '252', '165', '164', '656', '324', '464', '112', '639', '679', '474', '701', '673', '132', '2', '749', '785']
['619', '307', '771', '463', '713', '26', '192', '150', '485', '93', '120', '188', '47', '426', '442', '760', '635', '216', '569', '455']
['732', '182', '707', '94', '345', '391', '33', '61', '629', '616', '66', '466', '212', '133', '167', '613', '141', '415', '674', '46']
['331', '638', '64', '633', '227', '461', '751', '317', '213', '196', '631', '224', '328', '191', '756', '173', '507', '443', '162', '235']
['84', '516', '100', '55', '214', '86', '410', '320', '183', '775', '544', '220', '108', '193', '529', '130', '144', '374', '195', '95']
['445', '204', '513', '675', '394', '386', '305', '257', '585', '247', '417', '698', '198', '440', '449', '512', '218', '106', '25', '11']
['264', '526', '774', '355', '215', '486', '411', '717', '39', '259', '361', '38', '522', '275', '746', '652', '158', '289', '715', '156']
['337', '128', '210', '237', '29', '723', '761', '134', '482', '556', '500', '614', '600', '538', '740', '371', '101', '54', '302', '708']
['351', '481', '428', '147', '10', '209', '245', '103', '525', '499', '579', '480', '531', '452', '236', '89', '347', '287', '692', '190']
['454', '750', '293', '519', '700', '623', '683', '113', '592', '712', '693', '145', '256', '315', '458', '560', '441', '243', '420', '764']
['44', '495', '314', '266', '174', '666', '509', '699', '136', '367', '741', '13', '559', '27', '229', '23', '642', '74', '777', '343']
['70', '304', '335', '654', '413', '155', '60', '462', '594', '530', '610', '800', '20', '425', '248', '625', '576', '514', '630', '97']
['370', '533', '465', '358', '326', '291', '189', '353', '208', '662', '205', '398', '484', '260', '659', '313', '356', '571', '207', '378']
['203', '689', '365', '312', '274', '115', '357', '143', '660', '543', '634', '332', '518', '770', '35', '743', '149', '350', '73', '240']
['742', '348', '456', '395', '632', '180', '360', '523', '792', '90', '453', '327', '636', '776', '152', '131', '430', '409', '494', '273']
['647', '376', '786', '175', '295', '262', '626', '140', '719', '48', '333', '711', '75', '548', '177', '747', '316', '704', '111', '330']
['609', '733', '163', '640', '265', '460', '377', '281', '781', '178', '487', '201', '667', '5', '681', '98', '107', '798', '369', '400']
['697', '563', '299', '83', '124', '508', '599', '8', '91', '731', '587', '685', '437', '223', '670', '300', '319', '678', '283', '161']
['757', '427', '657', '135', '372', '783', '797', '471', '166', '725', '641', '598', '565', '590', '244', '51', '795', '298', '470', '730']
['766', '419', '9', '119', '537', '468', '78', '58', '85', '122', '504', '447', '573', '228', '607', '650', '397', '469', '373', '185']
['14', '50', '383', '779', '789', '645', '354', '28', '41', '473', '653', '759', '574', '506', '459', '309', '171', '483', '238', '6']
['524', '160', '49', '246', '769', '405', '554', '444', '127', '109', '603', '363', '796', '80', '658', '336', '92', '546', '668', '285']
['34', '32', '364', '492', '627', '545', '539', '735', '22', '206', '726', '401', '551', '511', '263', '510', '52', '753', '498', '580']
['340', '43', '30', '200', '366', '608', '172', '505', '87', '24', '96', '129', '644', '424', '17', '225', '301', '677', '593', '288']
['457', '784', '186', '671', '763', '234', '233', '710', '280', '251', '137', '765', '45', '352', '477', '572', '226', '690', '170', '727']
['597', '380', '407', '682', '114', '648', '601', '688', '550', '388', '117', '4', '37', '695', '433', '738', '116', '15', '451', '621']
['179', '767', '379', '258', '729', '194', '406', '716', '230', '390', '706', '720', '414', '762', '396', '71', '59', '549', '794', '382']
['104', '489', '778', '57', '773', '222', '416', '557', '339', '393', '269', '618', '239', '199', '434', '271', '646', '527', '566', '105']
['555', '323', '655', '310', '611', '181', '501', '151', '368', '435', '651', '88', '169', '752', '664', '542', '669', '772', '790', '676']
['570', '787', '121', '602', '436', '734', '703', '637', '754', '321', '672', '408', '68', '126', '389', '605', '558', '705', '583', '123']
['184', '168', '612', '261', '540', '520', '696', '718', '714', '79', '421', '768', '82', '628', '588', '643', '791', '578', '432', '782']
['490', '694', '604', '153', '279', '387', '392', '282', '62', '615', '399', '381', '176', '272', '663', '404', '439', '709', '241', '31']
['422', '325', '502', '36', '362', '472', '758', '318', '67', '744', '63', '528', '346', '431', '277', '69', '276', '575', '479', '217']
['110', '562', '290', '56', '686', '139', '722', '595', '517', '72', '81', '589', '521', '53', '478', '286', '384', '515', '308', '385']
['496', '541', '446', '242', '691', '724', '624', '18', '138', '219', '728', '1', '552', '296', '620', '581', '157', '476', '532', '254']
