['383', '215', '941', '887', '548', '590', '600', '881', '409', '536', '313', '198', '13', '752', '780', '754', '377', '791', '749', '113', '564', '204', '952', '663', '561']
['60', '122', '309', '782', '606', '493', '948', '429', '340', '227', '234', '485', '554', '426', '40', '350', '84', '210', '784', '127', '716', '639', '90', '620', '569']
['733', '354', '324', '133', '546', '319', '682', '998', '735', '835', '466', '82', '269', '358', '814', '562', '820', '314', '671', '686', '394', '504', '16', '171', '954']
['28', '197', '552', '333', '453', '605', '538', '892', '308', '617', '808', '579', '517', '92', '131', '299', '976', '382', '855', '200', '836', '248', '875', '356', '642']
['70', '608', '974', '832', '582', '687', '577', '586', '697', '966', '246', '623', '223', '224', '792', '312', '972', '872', '214', '355', '435', '141', '685', '22', '795']
['890', '760', '911', '828', '766', '163', '366', '253', '615', '583', '405', '219', '831', '626', '598', '332', '315', '994', '918', '679', '701', '521', '643', '534', '992']
['604', '463', '853', '391', '837', '571', '238', '619', '182', '519', '550', '329', '567', '914', '245', '781', '698', '681', '901', '464', '927', '668', '640', '432', '867']
['767', '630', '154', '93', '938', '417', '705', '812', '283', '19', '175', '572', '869', '438', '2', '483', '669', '254', '114', '956', '24', '399', '607', '430', '481']
['490', '345', '528', '947', '924', '963', '559', '558', '960', '805', '555', '56', '414', '945', '15', '803', '594', '710', '274', '176', '719', '968', '851', '991', '850']
['221', '120', '65', '103', '136', '930', '111', '29', '513', '321', '756', '217', '857', '86', '416', '877', '900', '341', '374', '479', '908', '516', '471', '813', '709']
['279', '958', '255', '235', '400', '886', '871', '904', '520', '913', '769', '150', '934', '797', '474', '670', '169', '895', '289', '385', '128', '553', '959', '841', '730']
['413', '282', '949', '661', '419', '649', '271', '920', '273', '868', '727', '798', '612', '124', '247', '935', '772', '861', '840', '703', '8', '67', '303', '848', '777']
['3', '773', '326', '75', '195', '978', '369', '278', '838', '964', '361', '819', '816', '823', '351', '655', '35', '650', '159', '720', '268', '151', '191', '614', '335']
['854', '634', '211', '616', '731', '566', '510', '981', '793', '442', '988', '461', '497', '462', '726', '676', '742', '288', '167', '585', '518', '23', '704', '158', '928']
['380', '194', '693', '213', '226', '603', '912', '473', '396', '678', '825', '44', '818', '266', '388', '45', '984', '397', '297', '951', '645', '1', '573', '743', '373']
['179', '648', '115', '725', '431', '395', '985', '142', '206', '502', '407', '386', '328', '451', '32', '14', '325', '61', '711', '95', '465', '33', '696', '423', '343']
['750', '864', '344', '477', '98', '570', '707', '310', '866', '544', '81', '51', '584', '89', '830', '873', '809', '547', '883', '842', '357', '220', '88', '801', '876']
['654', '10', '657', '305', '776', '459', '387', '107', '148', '294', '375', '729', '421', '909', '543', '839', '376', '320', '322', '764', '690', '202', '450', '556', '511']
['402', '346', '316', '118', '946', '155', '843', '921', '166', '327', '277', '790', '222', '863', '381', '276', '26', '264', '602', '897', '718', '42', '847', '437', '535']
['203', '523', '145', '46', '11', '293', '923', '7', '41', '796', '96', '563', '983', '926', '618', '659', '371', '527', '706', '18', '768', '401', '967', '658', '692']
['859', '786', '68', '631', '38', '281', '969', '922', '37', '919', '785', '156', '932', '25', '378', '330', '982', '304', '270', '4', '256', '52', '478', '736', '499']
['757', '252', '486', '662', '903', '770', '410', '79', '501', '695', '576', '272', '522', '542', '971', '597', '940', '318', '629', '530', '339', '469', '961', '810', '680']
['533', '342', '241', '102', '489', '905', '512', '898', '168', '475', '180', '557', '249', '132', '201', '613', '71', '532', '865', '824', '228', '741', '260', '199', '529']
['537', '317', '161', '794', '541', '965', '55', '117', '425', '644', '74', '997', '715', '879', '910', '492', '775', '232', '244', '771', '702', '765', '259', '545', '6']
['737', '751', '183', '970', '933', '508', '862', '242', '942', '980', '62', '747', '284', '441', '806', '301', '889', '925', '174', '916', '551', '746', '31', '390', '565']
