['337', '317', '326', '324', '305', '333', '344', '336', '342', '346', '316', '308', '369', '348', '334', '154', '310', '321', '7', '312', '328', '327', '313', '306', '300', '347', '301', '329', '325', '331', '340', '323', '0', '320', '314', '372', '440', '341', '95', '302', '330', '307', '304', '318', '675', '165', '268', '39', '741', '343']
['654', '389', '60', '194', '657', '279', '693', '665', '552', '662', '661', '667', '697', '489', '682', '691', '729', '666', '48', '653', '651', '656', '678', '664', '14', '175', '655', '671', '686', '137', '99', '698', '650', '659', '681', '690', '684', '676', '669', '677', '121', '672', '660', '679', '658', '663', '668', '481', '680', '692']
['604', '215', '712', '197', '212', '129', '634', '459', '207', '226', '238', '206', '111', '231', '241', '419', '211', '223', '140', '363', '512', '243', '236', '299', '217', '694', '724', '227', '214', '230', '222', '124', '249', '247', '232', '297', '128', '204', '210', '160', '209', '208', '296', '228', '239', '229', '216', '59', '225', '704']
['380', '648', '383', '360', '352', '395', '98', '379', '366', '393', '386', '447', '368', '361', '396', '705', '384', '358', '451', '392', '168', '376', '567', '359', '364', '370', '355', '495', '138', '365', '394', '266', '353', '509', '381', '371', '350', '374', '21', '116', '385', '362', '718', '357', '399', '356', '642', '510', '373', '30']
['402', '49', '17', '10', '737', '282', '354', '136', '38', '630', '646', '46', '580', '412', '444', '29', '155', '41', '599', '47', '610', '615', '37', '27', '727', '15', '19', '32', '422', '44', '714', '35', '16', '673', '443', '5', '2', '674', '542', '25', '26', '36', '22', '8', '42', '639', '20', '80', '177', '23']
['134', '120', '122', '145', '133', '115', '108', '387', '130', '281', '107', '142', '118', '106', '400', '148', '123', '102', '623', '109', '473', '149', '275', '131', '105', '424', '436', '351', '100', '86', '58', '171', '315', '532', '144', '31', '84', '114', '113', '703', '119', '516', '696', '127', '139', '390', '143', '303', '652', '126']
['28', '595', '582', '76', '590', '263', '558', '549', '586', '498', '732', '570', '617', '550', '579', '566', '560', '584', '583', '562', '633', '572', '594', '554', '174', '569', '132', '589', '596', '588', '576', '719', '742', '487', '597', '564', '683', '592', '267', '265', '553', '556', '568', '645', '585', '614', '521', '575', '561', '593']
['490', '496', '34', '463', '457', '482', '486', '453', '452', '431', '195', '470', '11', '246', '472', '466', '72', '81', '543', '434', '271', '475', '488', '461', '468', '462', '485', '491', '474', '438', '467', '636', '527', '483', '479', '476', '455', '184', '18', '465', '450', '464', '471', '458', '484', '743', '478', '469', '460', '494']
['179', '446', '183', '196', '581', '477', '577', '454', '64', '189', '112', '166', '574', '284', '480', '493', '178', '747', '417', '563', '713', '492', '261', '180', '497', '295', '322', '219', '591', '377', '435', '613', '397', '685', '276', '254', '708', '748', '456', '602', '700', '191', '259', '157', '199', '193', '433', '640', '158', '535']
['537', '533', '523', '744', '528', '548', '514', '538', '546', '162', '508', '526', '541', '519', '540', '513', '544', '501', '536', '517', '12', '695', '505', '273', '520', '515', '50', '539', '503', '504', '274', '507', '522', '746', '378', '524', '547', '702', '401', '525', '500', '260', '518', '506', '643', '720', '511', '578', '534', '545']
['445', '638', '427', '413', '391', '406', '252', '728', '403', '311', '103', '420', '404', '255', '410', '409', '407', '293', '622', '82', '421', '269', '414', '251', '425', '430', '441', '51', '429', '439', '442', '405', '426', '416', '411', '557', '551', '428', '159', '726', '250', '418', '716', '573', '449', '437', '256', '415', '423', '499']
['601', '608', '408', '745', '432', '605', '600', '309', '619', '502', '375', '627', '637', '735', '603', '278', '606', '649', '628', '644', '287', '621', '647', '258', '612', '632', '710', '723', '611', '626', '45', '618', '711', '598', '332', '272', '288', '609', '264', '624', '688', '67', '530', '620', '151', '607', '625', '529', '709', '730']
['70', '94', '9', '345', '338', '65', '91', '75', '43', '73', '689', '110', '57', '55', '56', '77', '66', '62', '79', '63', '616', '117', '198', '92', '349', '89', '96', '150', '367', '641', '176', '141', '69', '71', '749', '54', '78', '83', '87', '291', '85', '90', '701', '739', '565', '88', '97', '52', '6', '736']
['221', '733', '3', '233', '213', '68', '125', '631', '687', '448', '205', '319', '235', '721', '242', '147', '237', '734', '253', '224', '262', '13', '740', '277', '283', '240', '292', '200', '234', '61', '722', '388', '699', '245', '257', '587', '201', '40', '635', '244', '101', '202', '285', '104', '33', '24', '220', '53', '286', '218']
['203', '153', '186', '188', '717', '725', '398', '173', '152', '559', '161', '571', '555', '182', '294', '707', '192', '163', '93', '135', '181', '280', '731', '531', '74', '715', '156', '382', '146', '172', '164', '670', '248', '169', '738', '289', '290', '185', '706', '270', '187', '629', '339', '167', '1', '4', '335', '170', '298', '190']
