['145', '344', '477', '538', '600', '586', '766', '896', '181', '731', '243', '656', '349', '752', '884', '424', '32', '914', '40', '381', '659', '5', '116', '564', '875', '42', '768', '401', '658', '739', '52']
['337', '894', '120', '68', '212', '854', '98', '162', '707', '540', '155', '321', '81', '819', '300', '505', '694', '322', '836', '589', '598', '315', '899', '609', '824', '679', '268', '518', '460', '561', '373']
['773', '10', '360', '601', '860', '947', '794', '11', '278', '909', '447', '376', '422', '175', '723', '416', '504', '699', '99', '596', '332', '677', '929', '119', '465', '8', '901', '139', '39', '625', '415']
['917', '345', '856', '279', '486', '911', '546', '255', '570', '348', '293', '942', '517', '759', '417', '945', '405', '804', '474', '367', '169', '700', '318', '718', '291', '67', '821', '433', '640', '885', '928']
['196', '459', '43', '135', '312', '501', '606', '178', '560', '839', '664', '567', '323', '295', '497', '668', '274', '880', '755', '674', '297', '25', '31', '385', '865', '702', '160', '568', '90', '218', '478']
['737', '406', '28', '76', '404', '111', '148', '938', '414', '13', '715', '105', '146', '852', '227', '633', '138', '234', '797', '58', '438', '955', '681', '456', '624', '418', '696', '4', '80', '743', '642']
['383', '631', '582', '590', '412', '866', '835', '361', '823', '583', '156', '562', '180', '314', '266', '372', '509', '257', '762', '272', '527', '764', '202', '479', '455', '840', '592', '208', '286', '23', '510']
['654', '153', '431', '514', '205', '627', '623', '923', '666', '425', '480', '236', '705', '563', '780', '814', '100', '261', '611', '636', '467', '341', '84', '250', '339', '639', '88', '423', '578', '161', '30']
['213', '133', '528', '398', '420', '933', '346', '366', '224', '386', '615', '473', '536', '306', '396', '441', '695', '273', '301', '168', '351', '488', '576', '791', '861', '597', '264', '390', '97', '193', '709']
['733', '657', '779', '108', '776', '207', '154', '721', '147', '284', '327', '874', '384', '411', '626', '902', '388', '775', '247', '641', '719', '532', '350', '940', '951', '844', '765', '143', '335', '225', '432']
['799', '3', '215', '129', '661', '646', '498', '102', '379', '192', '237', '734', '893', '811', '882', '51', '872', '520', '678', '647', '461', '670', '171', '428', '943', '676', '487', '907', '607', '521', '876']
['427', '389', '537', '408', '282', '887', '828', '667', '881', '782', '892', '580', '502', '269', '774', '515', '879', '164', '900', '587', '176', '440', '809', '685', '483', '542', '302', '708', '26', '703', '506']
['194', '305', '352', '878', '697', '64', '57', '444', '109', '616', '599', '610', '251', '649', '271', '19', '857', '916', '869', '935', '2', '749', '906', '128', '908', '883', '24', '20', '260', '229', '144']
['750', '533', '758', '953', '75', '930', '316', '206', '905', '957', '189', '328', '834', '48', '653', '313', '12', '898', '612', '353', '711', '248', '397', '362', '629', '165', '959', '801', '430', '704', '534']
['757', '446', '60', '608', '125', '122', '130', '549', '805', '848', '513', '56', '792', '421', '651', '790', '292', '713', '671', '877', '132', '800', '104', '18', '851', '78', '777', '204', '813', '494', '736']
