['36', '122', '72', '357', '75', '81']
['491', '164', '82', '4', '80', '404']
['60', '109', '403', '342', '236', '231']
['380', '180', '222', '124', '224', '95']
['444', '471', '401', '16', '327', '185']
['251', '132', '440', '38', '256', '238']
['119', '67', '139', '143', '458', '248']
['137', '136', '76', '239', '335', '11']
['405', '269', '5', '303', '283', '15']
['61', '99', '27', '142', '439', '285']
['375', '215', '66', '280', '328', '123']
['445', '304', '49', '261', '13', '107']
['351', '419', '442', '89', '101', '350']
['18', '406', '115', '48', '459', '432']
['186', '266', '28', '125', '417', '449']
['436', '391', '474', '259', '352', '341']
['110', '463', '322', '278', '316', '392']
['90', '477', '52', '96', '470', '343']
['450', '223', '188', '40', '434', '207']
['370', '326', '181', '228', '159', '195']
['184', '148', '113', '83', '208', '241']
['297', '485', '365', '462', '98', '235']
['3', '465', '421', '220', '493', '240']
['412', '64', '33', '408', '130', '74']
['146', '84', '100', '399', '225', '302']
['204', '324', '484', '480', '202', '455']
['160', '270', '355', '135', '435', '97']
['114', '305', '453', '384', '21', '105']
['461', '42', '473', '498', '309', '217']
['168', '134', '140', '397', '92', '6']
['70', '475', '47', '437', '88', '254']
['242', '472', '482', '398', '69', '19']
['264', '325', '267', '311', '201', '176']
['252', '230', '133', '45', '141', '494']
['468', '165', '426', '171', '415', '371']
['93', '175', '497', '219', '299', '308']
['234', '411', '85', '20', '161', '382']
['237', '187', '56', '58', '460', '106']
['407', '10', '213', '367', '378', '288']
['489', '128', '390', '257', '199', '344']
['147', '212', '189', '271', '218', '73']
['121', '483', '233', '167', '35', '430']
['41', '245', '129', '431', '59', '410']
['446', '413', '246', '360', '486', '339']
['50', '210', '418', '457', '253', '400']
['479', '488', '372', '281', '481', '451']
['376', '495', '291', '448', '315', '499']
['329', '138', '209', '377', '71', '276']
['182', '91', '363', '332', '349', '346']
['294', '9', '353', '447', '244', '275']
['282', '112', '151', '247', '108', '170']
['348', '402', '57', '314', '393', '17']
['364', '206', '433', '273', '46', '118']
['154', '345', '394', '262', '196', '441']
['496', '0', '1', '178', '306', '263']
['331', '338', '274', '387', '409', '487']
['192', '79', '232', '300', '476', '289']
['422', '284', '12', '229', '226', '54']
['369', '420', '158', '298', '111', '30']
['293', '155', '425', '243', '395', '190']
['94', '63', '145', '356', '374', '26']
['104', '268', '39', '177', '169', '144']
['258', '292', '318', '265', '354', '423']
['454', '55', '214', '414', '464', '424']
['68', '466', '166', '467', '2', '287']
['200', '321', '279', '368', '319', '428']
['362', '227', '86', '127', '23', '290']
['78', '310', '183', '62', '198', '156']
['490', '320', '77', '65', '197', '478']
['427', '250', '295', '296', '51', '373']
['307', '456', '221', '383', '313', '173']
['211', '191', '157', '361', '277', '126']
['179', '203', '359', '44', '438', '381']
['340', '194', '416', '336', '25', '102']
['317', '37', '193', '286', '347', '116']
['29', '174', '7', '22', '260', '443']
['24', '386', '103', '469', '301', '32']
['337', '388', '272', '216', '43', '330']
['492', '323', '312', '249', '429', '162']
['14', '379', '163', '150', '452', '358']
['153', '34', '8', '333', '53', '205']
['334', '389', '366', '87', '149', '31']
['172', '120', '117', '396', '152', '255']
['385', '131']
