['445', '837', '398', '207', '11', '348', '192', '109', '649', '112', '819', '131', '283', '863', '367', '171', '895', '285', '624', '897', '450', '357', '824', '927', '437', '506', '821', '286', '566', '848']
['120', '103', '108', '448', '73', '778', '237', '550', '414', '747', '361', '874', '884', '919', '156', '340', '833', '633', '0', '86', '635', '141', '676', '330', '784', '688', '675', '901', '1', '765']
['457', '317', '903', '538', '130', '541', '666', '328', '882', '441', '51', '429', '358', '790', '168', '442', '562', '124', '775', '738', '674', '669', '772', '18', '128', '850', '191', '53', '335', '6']
['917', '648', '482', '212', '133', '662', '687', '379', '419', '386', '574', '149', '904', '705', '96', '798', '411', '137', '762', '272', '289', '31', '840', '264', '121', '516', '700', '119', '24', '813']
['122', '745', '949', '336', '646', '878', '526', '294', '622', '55', '540', '922', '48', '520', '715', '793', '632', '138', '295', '495', '916', '372', '438', '618', '159', '362', '556', '607', '561', '876']
['221', '337', '402', '937', '338', '758', '657', '75', '930', '805', '691', '444', '366', '7', '41', '140', '269', '628', '823', '664', '424', '855', '475', '468', '371', '684', '844', '390', '679', '518']
['391', '890', '552', '911', '407', '606', '81', '284', '105', '146', '364', '818', '491', '266', '503', '722', '257', '35', '201', '746', '476', '350', '21', '288', '865', '940', '802', '33', '228', '510']
['194', '197', '605', '828', '933', '162', '697', '118', '619', '931', '915', '321', '466', '796', '27', '277', '752', '301', '19', '175', '742', '144', '78', '22', '660', '220', '97', '565', '415', '652']
['446', '389', '383', '186', '856', '582', '634', '498', '502', '57', '843', '135', '47', '421', '811', '543', '44', '906', '908', '208', '620', '90', '743', '218', '795', '432', '373', '298', '535', '343']
['750', '10', '360', '779', '728', '91', '145', '854', '559', '206', '508', '93', '242', '616', '434', '656', '273', '724', '461', '613', '681', '702', '629', '553', '568', '209', '464', '296', '643', '663']
['799', '70', '737', '776', '575', '570', '182', '29', '368', '12', '512', '560', '740', '584', '89', '769', '485', '132', '902', '636', '418', '683', '696', '716', '525', '399', '430', '534', '478', '190']
['203', '486', '188', '319', '226', '580', '110', '519', '375', '513', '909', '300', '563', '331', '351', '572', '61', '804', '800', '244', '827', '315', '749', '95', '690', '845', '83', '67', '842', '578']
['153', '463', '773', '849', '891', '630', '571', '309', '881', '862', '198', '872', '678', '15', '780', '488', '227', '230', '783', '435', '16', '596', '71', '719', '204', '8', '847', '625', '692', '499']
['406', '311', '136', '333', '205', '308', '721', '946', '938', '610', '644', '370', '261', '611', '416', '641', '169', '443', '116', '851', '456', '918', '907', '259', '239', '458', '356', '23', '161', '730']
['757', '807', '354', '459', '410', '64', '893', '189', '425', '825', '913', '830', '785', '14', '32', '436', '723', '869', '388', '880', '670', '698', '527', '101', '54', '26', '270', '291', '42', '484']
['581', '263', '346', '241', '163', '866', '846', '544', '280', '181', '501', '921', '651', '275', '868', '727', '939', '176', '588', '685', '276', '677', '861', '304', '645', '500', '157', '642', '867', '30']
['894', '316', '794', '400', '623', '942', '734', '79', '816', '92', '945', '451', '621', '612', '787', '852', '803', '355', '925', '222', '900', '788', '2', '428', '564', '465', '530', '139', '339', '885']
['767', '537', '601', '326', '403', '514', '858', '195', '892', '102', '766', '923', '223', '363', '313', '583', '329', '200', '274', '551', '248', '5', '755', '532', '592', '87', '265', '401', '841', '668']
['604', '786', '134', '654', '282', '183', '631', '111', '489', '293', '211', '627', '472', '77', '808', '262', '871', '948', '217', '258', '713', '359', '462', '934', '699', '247', '507', '542', '20', '494']
['94', '252', '832', '43', '577', '46', '782', '231', '732', '154', '66', '271', '349', '914', '172', '174', '249', '341', '899', '597', '84', '160', '210', '39', '614', '739', '810', '225', '170', '709']
