['203', '638', '360', '482', '408', '832', '145', '837', '136', '949', '309', '960', '549', '409', '123', '689', '182', '541', '843', '56', '251', '656', '19', '567', '488', '175', '227', '86', '754', '426', '35', '939', '636', '315', '476', '254', '840', '83', '465', '318', '718', '918', '167', '220', '741', '753', '535', '343']
['34', '733', '604', '457', '194', '856', '125', '403', '115', '590', '828', '173', '38', '514', '316', '778', '682', '7', '79', '610', '912', '81', '313', '27', '358', '812', '583', '785', '612', '833', '852', '322', '365', '219', '900', '809', '681', '456', '844', '850', '484', '952', '518', '286', '303', '433', '430', '848']
['757', '389', '537', '737', '548', '770', '630', '73', '238', '407', '294', '29', '905', '627', '729', '536', '473', '447', '868', '287', '727', '715', '347', '780', '572', '539', '249', '257', '836', '670', '440', '791', '527', '749', '726', '684', '159', '851', '128', '516', '568', '660', '824', '500', '260', '216', '298', '593']
['345', '890', '941', '196', '122', '858', '577', '231', '766', '707', '622', '77', '808', '41', '386', '112', '441', '131', '236', '292', '713', '266', '164', '124', '474', '45', '201', '589', '673', '397', '69', '479', '906', '31', '865', '547', '609', '121', '940', '629', '85', '573', '208', '157', '521', '193', '469', '652']
['427', '402', '654', '338', '186', '523', '744', '582', '854', '911', '477', '776', '142', '697', '102', '732', '419', '734', '923', '893', '756', '48', '51', '919', '787', '351', '710', '468', '174', '783', '869', '58', '762', '635', '141', '71', '685', '101', '669', '450', '553', '716', '645', '39', '229', '335', '876', '481']
['859', '70', '120', '486', '28', '65', '133', '817', '728', '662', '933', '346', '206', '454', '163', '666', '599', '363', '13', '396', '275', '584', '273', '301', '632', '633', '214', '234', '150', '591', '714', '829', '332', '171', '955', '341', '428', '742', '184', '84', '696', '265', '679', '506', '460', '225', '777', '190']
['337', '773', '533', '326', '717', '947', '903', '420', '928', '782', '508', '691', '155', '922', '253', '517', '921', '574', '417', '560', '740', '271', '349', '283', '217', '879', '647', '355', '818', '485', '497', '394', '722', '611', '443', '507', '674', '418', '390', '620', '228', '607', '268', '739', '449', '256', '736', '730']
['9', '657', '215', '317', '779', '188', '953', '305', '76', '687', '559', '130', '195', '46', '862', '348', '540', '366', '735', '262', '62', '606', '834', '284', '543', '480', '904', '752', '830', '156', '855', '562', '495', '557', '353', '863', '438', '367', '822', '374', '688', '883', '90', '663', '821', '356', '704', '534']
['413', '937', '183', '333', '459', '661', '646', '892', '369', '619', '246', '866', '135', '616', '466', '140', '550', '731', '544', '37', '189', '300', '439', '96', '15', '790', '50', '803', '554', '172', '274', '935', '576', '378', '771', '602', '875', '204', '165', '8', '127', '42', '585', '399', '239', '531', '158', '680']
['712', '311', '860', '398', '924', '23', '958', '107', '281', '11', '617', '147', '946', '513', '321', '223', '181', '421', '198', '92', '823', '384', '74', '105', '889', '392', '32', '100', '261', '926', '461', '44', '775', '377', '411', '711', '641', '873', '59', '597', '564', '36', '683', '458', '810', '867', '161', '795']
['799', '221', '601', '91', '887', '760', '453', '538', '805', '293', '93', '55', '896', '117', '909', '871', '425', '888', '505', '520', '664', '359', '857', '295', '724', '671', '831', '686', '902', '99', '248', '650', '371', '738', '350', '676', '289', '861', '330', '703', '210', '802', '768', '639', '813', '373', '494', '569']
