['10', '864', '953', '333', '129', '108', '107', '162', '766', '109', '253', '280', '610', '579', '72', '517', '948', '364', '833', '295', '594', '44', '249', '670', '381', '636', '54', '26', '929', '597', '908', '267', '944', '672', '464', '585', '813']
['194', '849', '728', '631', '552', '453', '970', '309', '881', '281', '580', '55', '513', '893', '846', '560', '656', '790', '19', '392', '424', '261', '200', '504', '829', '176', '272', '141', '895', '289', '8', '357', '952', '607', '88', '97', '642']
['212', '305', '590', '858', '546', '794', '555', '619', '348', '64', '957', '56', '896', '327', '628', '898', '787', '754', '789', '557', '722', '394', '902', '587', '613', '5', '350', '95', '772', '116', '113', '624', '701', '847', '531', '826', '848']
['70', '758', '712', '595', '136', '687', '352', '420', '387', '46', '379', '922', '223', '189', '759', '27', '349', '818', '180', '234', '714', '641', '16', '588', '955', '551', '755', '21', '971', '784', '465', '696', '209', '167', '80', '511', '545']
['445', '807', '282', '115', '744', '776', '571', '346', '498', '407', '375', '622', '540', '946', '310', '606', '447', '277', '945', '621', '710', '314', '372', '247', '40', '276', '479', '104', '78', '204', '683', '187', '556', '191', '229', '801', '566']
['3', '345', '196', '717', '398', '316', '73', '231', '541', '242', '965', '163', '923', '7', '117', '756', '198', '92', '434', '823', '868', '146', '492', '0', '270', '119', '629', '995', '573', '986', '639', '268', '741', '23', '709', '569', '343']
['60', '558', '409', '11', '975', '627', '843', '77', '835', '811', '705', '987', '96', '382', '325', '633', '857', '820', '388', '132', '171', '822', '677', '144', '288', '455', '700', '718', '578', '390', '1', '660', '259', '739', '704', '593', '30']
['490', '693', '974', '870', '837', '634', '448', '661', '577', '549', '978', '526', '93', '691', '617', '808', '536', '368', '313', '740', '347', '913', '32', '422', '889', '910', '831', '164', '877', '589', '169', '726', '185', '36', '33', '688', '506']
['402', '646', '110', '707', '412', '792', '603', '414', '501', '747', '301', '283', '156', '780', '405', '172', '869', '598', '522', '950', '764', '378', '742', '487', '114', '702', '897', '127', '901', '24', '90', '4', '157', '53', '216', '668', '795']
['750', '233', '403', '760', '538', '130', '123', '732', '334', '866', '41', '909', '112', '271', '874', '806', '976', '451', '879', '15', '323', '655', '932', '783', '377', '474', '788', '201', '711', '659', '527', '940', '516', '553', '85', '652', '876']
['203', '34', '786', '383', '389', '608', '65', '662', '817', '263', '697', '570', '294', '980', '312', '473', '574', '964', '819', '825', '563', '488', '852', '769', '322', '440', '371', '159', '802', '990', '959', '260', '177', '286', '565', '356', '298']
['757', '853', '338', '665', '528', '963', '395', '118', '182', '472', '735', '278', '731', '284', '361', '983', '329', '351', '988', '468', '174', '365', '274', '99', '443', '374', '254', '330', '748', '250', '602', '210', '165', '139', '225', '6', '535']
['446', '463', '252', '183', '76', '667', '985', '489', '682', '237', '29', '425', '81', '520', '997', '664', '299', '678', '925', '35', '800', '880', '984', '635', '650', '244', '674', '943', '865', '304', '456', '645', '471', '720', '824', '449', '499']
